País,Nome,Twitter,Ideologia
GTM,Arévalo,https://x.com/BArevalodeLeon,
ARG,Milei,https://x.com/JMilei,Extrema Direita
BOL,Arce,https://x.com/luchoxbolivia,Esquerda
BRA,Lula,https://x.com/LulaOficial,Esquerda
CHL,Boric,https://x.com/gabrielboric,Esquerda
COL,Petro,https://x.com/petrogustavo,Esquerda
CRI,Chaves,https://x.com/RodrigoChavesR,Direita
CUB,Díaz-Canel,https://x.com/DiazCanelB,Extrema Esquerda
DEU,Scholz,https://x.com/Bundeskanzler,Centro
DOM,Abinader,https://x.com/luisabinader,Direita
ECU,Noboa,https://x.com/DanielNoboaOk,Centro
FRA,Macron,https://x.com/EmmanuelMacron,Centro
GBR,Sunak,https://x.com/RishiSunak,Direita
HND,Castro,https://x.com/XiomaraCastroZ,Esquerda
HTI,Edgard Leblanc Fils,,
ITA,Meloni,https://x.com/GiorgiaMeloni,Extrema Direita
MEX,Obrador,https://x.com/lopezobrador_,Esquerda
NIC,Daniel Ortega,,
PAN,Cortizo,https://x.com/NitoCortizo,Centro
PER,Dina Boluarte,,
PRY,Peña,https://x.com/PrensaSanti2023,Direita
SLV,Bukele,https://x.com/nayibbukele,Direita
URY,Lacalle Pou,https://x.com/LuisLacallePou,Direita
USA,Biden,https://x.com/JoeBiden,Centro
VEN,Maduro,https://x.com/NicolasMaduro,Extrema esquerda